driver1fault,accidentaddr,accident_hour,is_province1,lngs,lat,district
9,白云区,4,True,,26.684248,白云区
1,北二环,17,True,,26.623418,乌当区
7,兴关路路口,17,True,,26.57225900000001,南明区
8,阳关,15,True,,26.609576,乌当区
7,望城坡,0,False,,26.551241,南明区
1,沙冲北路,19,True,,26.565438,南明区
1,金阳客车站,4,True,,26.603323,乌当区
7,三桥南路,4,True,,26.587496999999995,云岩区
7,龚家寨十字路口,10,True,,26.683436,白云区
1,金苏大道,10,True,,26.675704,白云区
7,长岭南路交叉路口,12,True,,26.612034,乌当区
8,金华镇蒿芝村,14,True,,26.58885,乌当区
3,中曹司大桥,8,True,,26.508756,花溪区
8,松山路,8,True,,26.586979,云岩区
7,东山扶风路,9,True,,26.591518,云岩区
1,北京路,12,True,,26.601904,云岩区
1,金阳新区彩虹桥,19,True,,26.601409000000004,
7,省政府,14,True,,26.605123,云岩区
1,长岭北路,12,True,,26.665068,观山湖区
1,机场2号路,14,True,,26.546793,花溪区
8,沙冲路,14,True,,26.555189,南明区
7,太平路,11,True,,26.587768,云岩区
9,宝山南路,16,True,,26.575796,南明区
9,宝山北路,16,True,,26.591344,云岩区
7,浣纱路,17,True,,26.581489,云岩区
3,飞来巷,8,True,,26.589415,云岩区
7,北京路,8,True,,26.601904,云岩区
1,三桥立交桥改茶大道,9,False,,26.589775,云岩区
7,二桥,10,True,,26.586125,云岩区
3,和尚坡,13,True,,26.599511,云岩区
1,黄河路与盘江路交叉,13,True,,26.526024,花溪区
9,云岩区市北路,15,True,,26.602872,云岩区
7,观山湖区,16,True,,26.606372,观山湖区
7,新添大道南,17,True,,26.604877,乌当区
1,三桥车管所,17,True,,26.585543,云岩区
3,云岩区旭东路,17,True,,26.590609000000004,云岩区
7,高新路,17,True,,26.64452600000001,乌当区
3,世纪城,18,True,,26.614008,乌当区
1,白云中路,18,True,,26.686084,白云区
1,市北路,18,True,,26.602872,云岩区
8,南明区瑞金路,18,True,,26.570578,南明区
1,白云区麦架镇小桥村,19,True,,26.717584,白云区
7,黄河路,23,True,,26.524842,花溪区
7,蟠桃宫,6,True,,26.581566,南明区
7,新添大道,7,True,,26.621951,乌当区
7,三桥,8,False,,26.59005,云岩区
8,金阳世纪城,8,True,,26.606397,观山湖区
1,观山湖区,8,True,,26.606372,观山湖区
7,金阳新区碧海南路与林城西路交叉口,8,True,,26.650771,乌当区
1,中华中路,8,True,,26.5837,云岩区
7,花二道,8,True,,26.58415,
7,北京西路,9,True,,26.595573,云岩区
7,二戈寨,9,True,,26.517822,南明区
7,白云区中环路与七一路交叉,10,True,,26.685487,白云区
7,云岩区大营坡,10,True,,26.609140000000004,云岩区
4,浣沙桥,13,True,,26.587147,云岩区
7,沙冲路,13,True,,26.555189,南明区
1,云岩区贵开路,14,True,,26.6033,云岩区
1,新华路,15,True,,26.570335,南明区
1,兴义路路口,15,True,,26.46385900000001,花溪区
3,油榨街青年路加油站,16,True,,26.567065000000003,南明区
1,四方河,16,False,,26.536294,南明区
3,花果园停车场,16,True,,26.574149,南明区
9,湘雅村,16,True,,26.566774,南明区
5,省公安厅,16,True,,26.58946,云岩区
8,霞晖路,17,True,,26.429232,花溪区
1,南明区服务大楼立交桥,17,True,,26.580785,南明区
7,北京路,17,True,,26.601904,云岩区
1,观山湖区金阳南路,17,True,,26.606372,观山湖区
7,南浦路,17,True,,26.57282,南明区
7,乌当新添寨奶牛场,18,True,,26.650197,
7,世纪城,18,True,,26.614008,乌当区
1,杨家山,18,True,,26.416631,花溪区
7,白云北路,18,True,,26.691815,白云区
7,甘荫塘,18,True,,26.531456,南明区
7,贵阳市云岩区南亚路,19,True,,26.616873,云岩区
7,小河清水江路,19,True,,26.513861,花溪区
1,燕麦收费,19,True,,26.33,
1,花溪大道,20,False,,26.580099,花溪区
8,双峰路,20,True,,26.591963,云岩区
8,双峰路,20,True,,26.591963,云岩区
7,白云区鸡场街路口,21,False,,26.683241,
3,贵阳市世纪城金源街,21,True,,26.610966,乌当区
7,南明区瑞金中路,22,True,,26.580749,南明区
7,长江路,7,True,,26.528752,花溪区
3,金阳二手车市场,8,True,,26.672625,白云区
7,嘉润路,8,True,,26.535168,南明区
7,金阳中路,8,True,,26.665431,观山湖区
7,遵义路,8,True,,26.577417,南明区
7,沙冲南路,9,True,,26.551484,南明区
1,花溪贵大,9,True,,26.450562,花溪区
10,杨家山隧道,9,False,,26.567652,云岩区
7,金阳观山东路八匹马,9,True,,26.33,
5,金阳,9,True,,27.702275,
1,小河,9,True,,26.557721,乌当区
1,都司路,9,True,,26.579352,南明区
1,龙洞堡,9,True,,26.549112,南明区
8,东二环,9,True,,26.561542,南明区
7,干平路,10,True,,26.522364000000003,南明区
1,五里冲,10,False,,26.567986,南明区
7,世纪城,10,True,,26.614008,乌当区
7,万东桥,10,True,,26.580785,南明区
1,花溪区七大队,11,True,,26.43575,
7,上坝,12,True,,26.46493,花溪区
3,宝山南路,12,True,,26.575796,南明区
8,机场路,12,True,,26.540552,花溪区
3,后巢乡,12,True,,26.557917,南明区
8,威清路,13,True,,26.590649,云岩区
9,富水北路,13,True,,26.58629,云岩区
8,金阳客站,13,True,,26.600571,乌当区
1,头桥,13,False,,26.588309,云岩区
1,花溪,13,True,,26.416132,花溪区
1,解放路,14,True,,26.56832600000001,南明区
7,贵钢,14,True,,26.560235,南明区
1,空招,14,True,,26.566157,花溪区
7,都司路,15,True,,26.579352,南明区
1,南明区,15,True,,26.574155,南明区
7,花果园,15,False,,26.571027,南明区
7,花果园,16,True,,26.571027,南明区
1,太慈桥,16,True,,26.56048,南明区
1,大营坡,16,True,,26.609140000000004,乌当区
7,纪念塔,16,True,,26.33,
7,黔林山路,16,True,,26.6186,云岩区
1,公园北路,16,True,,26.589514,云岩区
1,四方河,16,True,,26.536294,南明区
7,中华南路,17,True,,26.577575,南明区
7,相宝山,17,True,,26.596368,云岩区
7,花果园,17,True,,26.571027,南明区
7,瑞金北路,17,True,,26.588421000000004,云岩区
7,市公安局,17,True,,26.628682,乌当区
9,师大,17,True,,26.591711,云岩区
9,师大,17,True,,26.591711,云岩区
7,浙商综合批发市场,17,True,,26.562481,
3,见龙洞路,17,True,,26.540804,花溪区
7,210国道,17,True,,26.758979,白云区
3,西工厂,17,True,,26.514938,花溪区
7,遵义路,17,True,,26.577417,南明区
7,世纪城,18,True,,26.614008,乌当区
8,中航城,18,True,,26.602308,观山湖区
7,医学院,18,True,,26.602286,花溪区
7,大关,18,True,,26.648563,乌当区
7,白云区,18,True,,26.684248,白云区
7,文昌南路,18,True,,26.583749,南明区
8,金源街,19,True,,26.602209,观山湖区
8,金顶山,19,True,,26.581189,云岩区
3,红岩桥,19,True,,26.580628000000004,南明区
7,大西门,19,True,,26.58311500000001,南明区
7,会展城,19,True,,26.655481,乌当区
1,花溪大道北段,19,True,,26.564098,南明区
7,花果园,19,True,,26.571027,南明区
7,小河转盘,20,True,,26.529166,南明区
7,乌当,20,True,,26.635329,乌当区
1,北二环,20,True,,26.623418,乌当区
7,蟠桃宫,21,True,,26.581566,南明区
8,延安西路,21,True,,26.588587,云岩区
