,ID,lngs,lat,district,driverfault
0,0,106.629636,26.684247999999997,白云区,9
1,1,106.74831499999999,26.623418,乌当区,1
2,2,106.721021,26.57225900000001,南明区,7
3,3,106.66379199999999,26.609576,乌当区,8
4,4,106.719066,26.551240999999997,南明区,7
5,5,106.717496,26.565438,南明区,1
6,6,106.58644199999999,26.603323,乌当区,1
7,7,106.68722199999999,26.587496999999995,云岩区,7
8,8,106.642799,26.683436,白云区,7
9,9,106.659356,26.675704,白云区,1
10,10,106.63831599999999,26.612034,乌当区,7
11,11,106.582058,26.58885,乌当区,8
12,12,106.68066999999999,26.508755999999998,花溪区,3
13,13,106.699357,26.586979,云岩区,8
14,14,106.73648899999999,26.591518,云岩区,7
15,15,106.724805,26.601903999999998,云岩区,1
16,16,106.667804,26.601409000000004,,1
17,17,106.71301899999999,26.605123,云岩区,7
18,18,106.656791,26.665067999999998,观山湖区,1
19,19,106.80276599999999,26.546793,花溪区,1
20,20,106.70778600000001,26.555189000000002,南明区,8
21,21,106.719001,26.587768,云岩区,7
22,22,106.73580700000001,26.575796,南明区,9
23,23,106.72845,26.591344,云岩区,9
24,24,106.704824,26.581489,云岩区,7
25,25,106.661645,26.589415000000002,云岩区,3
26,26,106.724805,26.601903999999998,云岩区,7
27,27,106.67314499999999,26.589775,云岩区,1
28,28,106.685018,26.586125,云岩区,7
29,29,106.67148600000002,26.599511,云岩区,3
30,30,106.70821699999999,26.526024,花溪区,1
31,31,106.71479099999999,26.602871999999998,云岩区,9
32,32,106.629249,26.606371999999997,观山湖区,7
33,33,106.725067,26.604877000000002,乌当区,7
34,34,106.66738799999999,26.585542999999998,云岩区,1
35,35,106.72916699999999,26.590609000000004,云岩区,3
36,36,106.80420600000001,26.64452600000001,乌当区,7
37,37,106.64308899999999,26.614008000000002,乌当区,3
38,38,106.638824,26.686084,白云区,1
39,39,106.71479099999999,26.602871999999998,云岩区,1
40,40,106.72533700000001,26.570578,南明区,8
41,41,106.629304,26.717584000000002,白云区,1
42,42,106.70788300000001,26.524842,花溪区,7
43,43,106.736851,26.581566,南明区,7
44,44,106.740997,26.621951,乌当区,7
45,45,106.674466,26.59005,云岩区,7
46,46,106.639436,26.606396999999998,观山湖区,8
47,47,106.629249,26.606371999999997,观山湖区,1
48,48,106.62706499999999,26.650771000000002,乌当区,7
49,49,106.71916599999999,26.5837,云岩区,1
50,50,106.67409199999999,26.58415,,7
51,51,106.68546299999998,26.595572999999998,云岩区,7
52,52,106.740054,26.517822,南明区,7
53,53,106.624375,26.685487,白云区,7
54,54,106.72926499999998,26.609140000000004,云岩区,7
55,55,106.70441299999999,26.587146999999998,云岩区,4
56,56,106.70778600000001,26.555189000000002,南明区,7
57,57,106.725001,26.6033,云岩区,1
58,58,106.72623700000001,26.570334999999996,南明区,1
59,59,106.677811,26.46385900000001,花溪区,1
60,60,106.735743,26.567065000000003,南明区,3
61,61,106.700566,26.536294,南明区,1
62,62,106.69700900000001,26.574149,南明区,3
63,63,106.696649,26.566774,南明区,9
64,64,106.72966100000001,26.58946,云岩区,5
65,65,106.67985700000001,26.429232,花溪区,8
66,66,106.72525,26.580785,南明区,1
