,accidenttime,temperature_min,temperature_max,weather1,weather2,wind1,wind2,diff_temperature
0,2015-1-1,6,8,阴,阴,东北风,南风,2
1,2015-1-2,6,12,多云,多云,南风,南风,6
2,2015-1-3,7,13,多云,多云,南风,南风,6
3,2015-1-4,7,13,多云,阴,东北风,东南风,6
4,2015-1-5,3,11,小雨,小雨,东南风,东北风,8
5,2015-1-6,3,6,小雨,小雨,东北风,东北风,3
6,2015-1-7,2,6,阴,小雨,东北风,东北风,4
7,2015-1-8,1,5,小雨,小雨,东北风,东北风,4
8,2015-1-9,0,4,雨夹雪,小雪,东北风,东北风,4
9,2015-1-10,3,6,小雨,小雨,东北风,东北风,3
10,2015-1-11,2,8,阴,小雨,东北风,东北风,6
11,2015-1-12,1,10,多云,阴,东北风,东北风,9
12,2015-1-13,0,12,晴,晴,东北风,东北风,12
13,2015-1-14,3,11,多云,阴,东风,南风,8
14,2015-1-15,4,9,阴,小雨,南风,东北风,5
15,2015-1-16,5,8,阴,阴,东北风,东风,3
16,2015-1-17,4,10,阴,小雨,东风,东北风,6
17,2015-1-18,2,6,小雨,小雨,东北风,东北风,4
18,2015-1-19,3,7,阴,小雨,东风,东北风,4
19,2015-1-20,2,11,阴,阴,东北风,东北风,9
20,2015-1-21,1,13,晴,晴,东北风,东北风,12
21,2015-1-22,7,15,晴,多云,南风,南风,8
22,2015-1-23,9,14,阴,阴,南风,南风,5
23,2015-1-24,11,14,阴,小雨,南风,东南风,3
24,2015-1-25,9,13,阴,小雨,东北风,东南风,4
25,2015-1-26,10,15,阴,阴,东南风,东南风,5
26,2015-1-27,7,16,阴,阴,东南风,南风,9
27,2015-1-28,1,10,阴,小雨,南风,东北风,9
28,2015-1-29,-1,2,雨夹雪,冻雨,东北风,东北风,3
29,2015-1-30,-3,1,冻雨,冻雨,东北风,东北风,4
30,2015-1-31,-3,1,冻雨,冻雨,东北风,东北风,4
31,2015-2-1,0,2,阴,小雨,东北风,东风,2
32,2015-2-2,3,7,阴,小雨,南风,东南风,4
33,2015-2-3,1,6,小雨,小雨,东北风,东北风,5
34,2015-2-4,0,4,小雨,小雨,东北风,东北风,4
35,2015-2-5,0,3,阴,阴,东北风,东北风,3
36,2015-2-6,2,9,多云,小雨,南风,南风,7
37,2015-2-7,3,8,阴,阴,东北风,东北风,5
38,2015-2-8,3,7,阴,阴,东北风,南风,4
39,2015-2-9,4,6,阴,小雨,东北风,东北风,2
40,2015-2-10,3,6,小雨,小雨,东北风,东风,3
41,2015-2-11,3,11,多云,多云,东风,东北风,8
42,2015-2-12,5,15,多云,多云,南风,南风,10
43,2015-2-13,8,17,多云,阵雨,南风,南风,9
44,2015-2-14,10,16,阵雨,雷阵雨,南风,南风,6
45,2015-2-15,8,19,多云,阴,南风,东北风,11
46,2015-2-16,9,15,阴,阵雨,东北风,东南风,6
47,2015-2-17,11,17,阴,阴,东南风,南风,6
48,2015-2-18,14,20,多云,多云,南风,南风,6
49,2015-2-19,14,22,多云,多云,南风,南风,8
50,2015-2-20,11,23,多云,雷阵雨,南风,东北风,12
51,2015-2-21,9,16,多云,阵雨,东北风,东风,7
52,2015-2-22,7,11,阵雨,小雨,东北风,东北风,4
53,2015-2-23,8,16,阴,阴,南风,东风,8
54,2015-2-24,9,20,多云,阴,南风,南风,11
55,2015-2-25,8,15,阴,阵雨,东北风,东北风,7
56,2015-2-26,9,12,阴,小雨,东风,南风,3
57,2015-2-27,5,21,多云,阵雨,南风,南风,16
58,2015-2-28,4,8,小雨,小雨,东北风,东北风,4
59,2015-3-1,3,9,阴,阴,东风,南风,6
60,2015-3-2,2,9,阴,小雨,东北风,东北风,7
61,2015-3-3,3,8,小雨,小雨,东北风,东北风,5
62,2015-3-4,1,6,小雨,小雨,东北风,东北风,5
63,2015-3-5,1,4,小雨,小雨,东北风,东北风,3
64,2015-3-6,3,5,小雨,小雨,东北风,东北风,2
65,2015-3-7,5,10,阴,小雨,东风,东南风,5
66,2015-3-8,6,11,小雨,阴,东北风,东北风,5
67,2015-3-9,5,10,小雨,小雨,东北风,东北风,5
68,2015-3-10,4,8,小雨,小雨,东北风,东北风,4
69,2015-3-11,4,8,阴,小雨,东北风,东北风,4
70,2015-3-12,10,16,多云,多云,南风,南风,6
71,2015-3-13,12,17,多云,阵雨,南风,南风,5
72,2015-3-14,12,17,阴,阴,南风,东南风,5
73,2015-3-15,13,18,阴,阴,东风,南风,5
